    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -2.484724628,       2.998120994,     0.09427536327,      0.0974743882
      -2.593370512,       2.898730813,      0.1429741943,      0.1379742867
      -2.630584039,       2.854567791,      0.1820436552,       0.169301596
      -2.669393068,        2.81353194,      0.2121050708,      0.1954247766
      -2.704886314,       2.776536528,      0.2339193592,      0.2166913296
      -2.733857451,       2.745392394,      0.2489868363,       0.232982661
      -2.753493159,        2.72350494,      0.2588231195,      0.2444642044
      -2.765921469,       2.709942685,      0.2645765411,      0.2515514959
      -2.777717762,       2.698019617,      0.2673756335,      0.2557845325
      -2.788036533,       2.687743824,      0.2679249051,      0.2579545653
      -2.795643221,       2.680295713,      0.2668017128,      0.2588240935
      -2.800198191,       2.676186032,       0.264629885,       0.258710232
      -2.803637925,        2.67318243,      0.2616203796,      0.2588981561
      -2.806215572,       2.670963128,      0.2579771715,      0.2594673861
      -2.809208758,        2.66804863,      0.2539920841,      0.2597199843
      -2.812981675,       2.664100546,      0.2497980994,      0.2592623683
      -2.817795299,       2.658930188,      0.2454659884,      0.2584496909
      -2.822813215,       2.653327355,       0.241089752,      0.2576641299
      -2.827155455,       2.648353784,      0.2367865785,      0.2567127025
      -2.830928663,       2.643919739,      0.2326716064,      0.2555241415
      -2.833892504,       2.640424829,      0.2287309608,      0.2543926971
      -2.836693705,       2.637146683,      0.2250068526,      0.2536533977
      -2.839295862,       2.634064946,      0.2215218712,      0.2530084505
       -2.84215885,       2.630722406,      0.2182765378,      0.2523106136
      -2.845104635,       2.627311321,      0.2152340576,      0.2516212683
      -2.848208741,       2.623758277,      0.2123266818,      0.2508916395
      -2.851143734,       2.620389777,      0.2095461946,      0.2502183723
      -2.853812406,       2.617320036,      0.2068521786,      0.2496214231
      -2.856859313,       2.613931422,      0.2042796308,      0.2491706807
      -2.859875203,       2.610574074,      0.2017778022,      0.2487471774
      -2.862771345,       2.607367673,      0.1993440316,      0.2484511175
      -2.865360323,       2.604524215,      0.1969967516,      0.2480417059
      -2.867935184,       2.601684539,      0.1947135545,      0.2475494856
      -2.870563948,       2.598803054,      0.1925228311,      0.2472170982
      -2.873067487,       2.596052217,      0.1903705232,      0.2467785489
      -2.875380969,       2.593482689,      0.1882737549,      0.2462155481
      -2.877486013,       2.591099697,       0.186215345,      0.2455585159
      -2.879388274,       2.588957928,      0.1841993931,      0.2446433907
      -2.881122218,       2.586973645,       0.182269445,       0.243825936
      -2.882394713,       2.585467526,       0.180402102,      0.2431335022
      -2.883375708,       2.584249854,      0.1785830001,      0.2425656197
      -2.884110261,       2.583301927,      0.1768194149,      0.2420856885
