    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -2.456901632,       3.025943991,      0.1077557352,     0.09673509269
     -0.4720767069,       5.030800759,      0.1619356965,      0.1387935288
     -0.5282447484,       4.960468549,      0.2053847173,      0.1738003185
      -0.551106954,       4.919165228,      0.2385623149,       0.201663858
     -0.5633589342,       4.893451556,      0.2628573571,       0.223411163
     -0.5804704902,       4.866970926,      0.2797456262,      0.2400193045
     -0.6303924944,       4.810766412,      0.2908382813,      0.2527233593
      -0.676695984,       4.760388323,      0.2970502685,      0.2610866201
     -0.7121869702,       4.724064647,      0.2999065754,      0.2673058424
     -0.7397894291,       4.697604471,      0.3001314667,       0.270105681
     -0.7613533203,       4.678012487,      0.2989251089,      0.2712057965
     -0.7739219063,       4.669554911,      0.2967408658,      0.2714086107
     -0.7827956109,       4.665132258,      0.2938352074,      0.2708067306
     -0.7852241317,        4.66607706,      0.2906617826,      0.2711382268
     -0.7872334596,        4.66587437,      0.2868124142,       0.269926783
     -0.7920345032,       4.661730928,      0.2828327971,      0.2693608244
     -0.7991285654,       4.654373523,      0.2783963845,      0.2677348943
     -0.8071589771,       4.645510083,       0.274136709,      0.2669333463
     -0.8175004338,       4.634432891,      0.2698105447,      0.2652469454
     -0.8263370131,       4.624545607,      0.2658863409,      0.2646425357
     -0.8341785813,       4.616200094,      0.2620167368,      0.2634045019
      -0.841857013,       4.607732779,      0.2585733357,      0.2632954875
      -0.848525367,       4.600900762,      0.2551319332,      0.2624362886
     -0.8550070959,       4.594260903,      0.2519933749,      0.2629151021
     -0.8603102596,       4.588611798,      0.2489163742,       0.262647102
     -0.8651667805,       4.583946144,      0.2461269396,      0.2630208927
      -0.869733264,       4.579089732,      0.2433661895,      0.2629968057
     -0.8753668813,       4.572698297,      0.2406345201,      0.2629882658
     -0.8814060545,       4.566741689,      0.2379829678,       0.264135266
     -0.8869009985,       4.560172868,      0.2353229374,      0.2649599577
     -0.8912312261,       4.555320177,      0.2326451307,      0.2652734719
     -0.8963453921,       4.549664809,      0.2300473704,       0.265134715
     -0.9025631373,       4.542767802,      0.2276072286,      0.2654942906
     -0.9082219329,       4.536703503,      0.2252038176,       0.265611533
     -0.9111032793,        4.53411405,      0.2228615478,      0.2658317721
     -0.9171006606,        4.52735125,      0.2204964348,      0.2664588676
     -0.9220189206,       4.521829912,      0.2182864192,      0.2667687208
     -0.9263520572,       4.517436558,      0.2161784736,      0.2667982043
     -0.9287718666,       4.514879237,      0.2141193571,      0.2666932409
      -0.934587142,       4.507992194,      0.2121031524,      0.2664248217
     -0.9391102052,       4.503117158,      0.2102265549,      0.2662941777
     -0.9426523084,       4.499271991,       0.208392613,       0.266078052
     -0.9465548242,       4.495309554,      0.2065589234,      0.2658273648
      -0.951085597,       4.490233034,      0.2048151428,      0.2659458158
     -0.9555425841,        4.48551362,      0.2030452261,      0.2658604971
     -0.9594543728,       4.480965264,      0.2012376523,      0.2652717478
      -0.964111102,       4.475769781,      0.1995755931,      0.2650682563
     -0.9687643174,       4.470338212,       0.197950789,      0.2648683541
     -0.9722766044,       4.466836734,      0.1963487934,      0.2647395241
     -0.9765336447,       4.461848578,      0.1947602646,      0.2647007977
      -0.980842871,       4.456844742,      0.1932264431,      0.2646487704
     -0.9849184722,       4.452150765,       0.191709475,       0.264498472
     -0.9877215514,       4.449591121,      0.1902144034,      0.2642734016
     -0.9904194106,       4.446852292,      0.1887697737,      0.2638988986
     -0.9934353849,       4.443609997,      0.1873476861,      0.2636440332
     -0.9961603601,       4.440480648,       0.185935742,       0.263433253
      -1.000034767,        4.43674975,      0.1845388492,      0.2629659421
      -1.002778935,       4.434101186,      0.1831284921,      0.2625189408
      -1.007688647,       4.428591693,      0.1817286006,      0.2619814917
      -1.013206606,       4.421895405,      0.1803459037,      0.2613842338
      -1.016440842,       4.419084751,      0.1789978397,      0.2608783514
       -1.02120445,       4.413837545,      0.1776945608,      0.2604819572
      -1.025429414,       4.409210995,      0.1763863872,      0.2600733871
      -1.028398216,       4.406126755,      0.1750717816,      0.2599320365
      -1.032993294,       4.400611245,      0.1737897263,      0.2597699424
      -1.036820701,       4.396267604,      0.1725287975,      0.2596781154
