    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -2.498855801,       2.983989822,     0.08700155684,     0.02029406825
     -0.4710371257,       5.032207184,      0.1304781798,     0.03744906584
     -0.5290166461,       4.959411206,      0.1658118276,     0.05079268998
     -0.5469064136,        4.92236841,      0.1931623527,     0.06044117943
     -0.5564375968,       4.899361112,      0.2131133832,     0.06850966308
     -0.5731929072,       4.873888519,      0.2271008481,     0.07366179003
     -0.6238848644,       4.816875072,      0.2360393394,     0.07657181364
     -0.6706200028,          4.765693,      0.2416413645,     0.07755695963
     -0.7089810728,       4.726311433,      0.2445069426,     0.07832282578
      -0.738760829,       4.697813384,      0.2451089169,     0.07832292482
     -0.7586183166,       4.681444827,       0.244188068,     0.07645648876
     -0.7713259708,       4.672595095,      0.2422345832,     0.07431466574
     -0.7779178446,       4.671100958,      0.2394837392,     0.07129795466
     -0.7793155573,       4.672737391,      0.2361497594,      0.0686530215
     -0.7815229481,       4.672533561,      0.2323724214,     0.06644045026
     -0.7871857643,       4.666925118,      0.2284026438,     0.06395004599
     -0.7954520884,       4.658397736,      0.2242948747,     0.06165554663
     -0.8042450872,       4.648310494,      0.2200385984,     0.06052184219
     -0.8138974062,       4.637877303,      0.2158933159,     0.05886028346
     -0.8229402687,       4.627805523,      0.2119591275,     0.05692267612
     -0.8318496225,       4.618454441,      0.2082136511,     0.05513310969
     -0.8387751711,       4.611046799,      0.2046796476,     0.05373908957
     -0.8469248826,       4.603053454,      0.2013954313,     0.05228866742
     -0.8528353415,       4.596970543,      0.1983313969,     0.05074622069
     -0.8579585468,        4.59140809,      0.1954474955,      0.0490418473
      -0.862516009,       4.586602929,      0.1926282806,     0.04797621591
     -0.8687494464,       4.580200756,      0.1899876051,     0.04672414441
     -0.8726013586,       4.575686738,       0.187461643,     0.04568625733
     -0.8791552133,       4.568387619,      0.1849954786,     0.04500431461
     -0.8851763529,       4.561664602,      0.1825525299,     0.04460699261
     -0.8901993538,       4.556168538,      0.1801967413,     0.04425159391
      -0.896492506,       4.549716087,      0.1780074089,     0.04317798422
     -0.9029942928,       4.542626027,      0.1758461808,     0.04204535463
     -0.9094877863,       4.535619942,      0.1737127457,     0.04163901991
     -0.9145661639,       4.530504518,      0.1715935292,     0.04095072941
     -0.9194266264,        4.52582956,      0.1695506597,     0.04027658637
     -0.9261848808,       4.518344653,      0.1675662348,     0.03985901915
      -0.932040611,       4.511942072,      0.1656214587,     0.03928970183
     -0.9368494053,       4.506442581,      0.1636941976,     0.03901830859
     -0.9413680823,       4.501409941,      0.1618985251,     0.03850855389
     -0.9459254057,       4.496247828,      0.1601812857,     0.03793952617
     -0.9496418757,       4.492127382,      0.1584852768,     0.03754424958
      -0.953302466,        4.48791334,      0.1567751054,     0.03736778721
     -0.9573616536,       4.483295673,      0.1551440094,     0.03717021007
     -0.9610356205,       4.479151609,      0.1535461802,      0.0371326716
     -0.9646619213,       4.475068164,      0.1520056571,     0.03706888433
     -0.9686784058,       4.470365497,      0.1504638151,     0.03709911481
     -0.9724201985,       4.466337753,      0.1489429702,     0.03686359762
       -0.97648335,        4.46172735,      0.1474503723,     0.03694854174
     -0.9803673489,       4.457805299,      0.1460267605,      0.0368405682
     -0.9835513809,       4.454407487,      0.1446204696,     0.03652192604
     -0.9881561327,       4.449064518,      0.1432922299,      0.0363144644
     -0.9928641321,       4.443415712,      0.1420089132,     0.03564365573
     -0.9962346538,       4.440050012,      0.1407409134,     0.03516461762
      -1.000256579,       4.435706923,      0.1394674843,     0.03490324427
      -1.002407374,       4.434326842,      0.1382311819,     0.03474701506
       -1.00780732,       4.427562896,      0.1370918384,      0.0345079156
      -1.011475616,       4.423627904,        0.13596998,     0.03431054368
      -1.014494025,       4.420591615,       0.134851622,     0.03377127569
      -1.017228507,       4.417997001,      0.1337709649,     0.03326455363
       -1.02212901,       4.412151498,      0.1327515826,     0.03269232968
      -1.026194921,       4.407639118,      0.1317606914,     0.03209740064
       -1.02937638,       4.404299202,      0.1307893244,     0.03117536835
      -1.032334019,       4.401594958,      0.1297941828,     0.03068740739
      -1.035086142,       4.398856666,      0.1288479282,     0.03008032172
      -1.037878343,        4.39619154,       0.127905437,     0.02941256474
      -1.042089028,       4.391214646,      0.1269967351,     0.02868725509
      -1.045862624,       4.387115701,      0.1260823325,     0.02813377779
      -1.049169631,       4.383599032,      0.1251760433,     0.02739293988
       -1.05342339,       4.378538374,      0.1242652772,     0.02702118798
