    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -2.425322956,       3.057522668,       0.122970205,     0.02266344144
     -0.4722122128,       5.030310938,      0.1861510208,     0.03721455949
     -0.5280902427,       4.960516047,      0.2367404573,     0.04221792259
      -0.547285717,        4.92258167,      0.2757142812,     0.04550062069
     -0.5598114236,       4.896558938,      0.3046277213,     0.04725354593
     -0.5787547932,       4.869096423,      0.3246161324,      0.0485900616
     -0.6251336924,       4.816404636,       0.337857627,      0.0498175404
     -0.6673204824,       4.770533649,      0.3459242113,     0.05096248749
     -0.7041397782,       4.732266064,       0.350016153,     0.05196147343
     -0.7338748919,        4.70335265,      0.3512158482,     0.05311785873
     -0.7552791648,       4.685033857,      0.3505269748,     0.05278607747
     -0.7705387891,       4.673365469,      0.3489767556,     0.05206757819
     -0.7774835894,       4.670749354,      0.3466123137,     0.05125278349
     -0.7801919457,       4.671282204,      0.3434156732,     0.04939562834
     -0.7837488068,         4.6699433,        0.33952748,     0.04744856035
     -0.7893801539,       4.665248492,      0.3350734591,     0.04546646831
     -0.7975001035,       4.656539571,      0.3301939285,     0.04415385153
     -0.8072620844,       4.645385724,       0.325031403,     0.04340153207
     -0.8164791954,       4.635122417,      0.3197034461,     0.04224767658
     -0.8252963733,       4.625551541,      0.3146148126,     0.04151699411
     -0.8333872456,       4.616501672,      0.3097195513,      0.0406712757
     -0.8404419382,       4.609551284,      0.3051012512,     0.03970284937
     -0.8472117537,       4.602452501,      0.3008361306,      0.0384817319
     -0.8523688852,        4.59732411,       0.296784767,     0.03756512614
     -0.8571240533,       4.592854947,      0.2929902973,     0.03652591012
     -0.8636301059,       4.586330916,      0.2893654341,     0.03583907748
     -0.8694151745,       4.579813937,      0.2857776736,      0.0351333674
     -0.8747362358,       4.574532884,      0.2822622517,     0.03422734901
     -0.8801008139,       4.568616131,      0.2788193059,     0.03346598703
     -0.8850088153,       4.562971109,      0.2754428022,      0.0328877769
     -0.8903770758,       4.557005509,      0.2721306055,     0.03303330476
     -0.8958641643,       4.551369187,      0.2688882331,     0.03271816873
     -0.9001978505,       4.546741709,      0.2657666883,     0.03202928459
     -0.9061505708,        4.54018572,      0.2626954259,     0.03147908578
     -0.9112356716,       4.534541739,      0.2596701948,     0.03078984844
     -0.9144821898,        4.53176151,      0.2567215696,     0.03060385546
     -0.9209359827,       4.524527334,      0.2538464818,     0.03029168935
     -0.9265800679,       4.517730394,      0.2509997352,     0.03006277573
       -0.93115309,       4.513038234,      0.2483194375,     0.03009347759
     -0.9364000821,       4.507116529,      0.2457170107,     0.03000941913
     -0.9413201279,       4.501306102,      0.2431748558,     0.02976676216
