    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -2.423290401,       3.059555223,      0.1245898366,     0.02229900524
     -0.4741526808,       5.028747303,      0.1872639563,     0.03877739918
     -0.5306871933,        4.95820943,       0.236478277,     0.04720430839
     -0.5484158708,       4.921308039,      0.2745985499,     0.05387203132
     -0.5608828877,       4.895264799,      0.3024865067,     0.05826545461
     -0.5783104109,        4.86884651,      0.3219138941,     0.06192098873
     -0.6280083865,       4.812469233,      0.3349892215,     0.06345584563
     -0.6738904117,       4.762804215,      0.3429765677,     0.06447667333
     -0.7090923467,       4.726930184,      0.3470477643,     0.06536387063
     -0.7397138418,       4.697776659,      0.3483960713,     0.06410590402
     -0.7610644679,       4.679311506,      0.3482716909,     0.06272647326
     -0.7731116254,       4.672019168,      0.3468864111,     0.06014212961
     -0.7797744067,       4.669947802,      0.3443476374,     0.05629345167
     -0.7809756905,       4.671498795,       0.341009738,     0.05352137917
     -0.7835042613,       4.670227469,      0.3369151918,     0.05133513982
     -0.7889331382,       4.665420422,      0.3322459948,     0.04977996689
     -0.7977520683,       4.656299968,      0.3270003618,      0.0480124782
     -0.8066474544,       4.646728893,      0.3217631404,     0.04688503401
     -0.8173723534,       4.635140135,      0.3163393138,     0.04598092344
     -0.8272622013,       4.624037488,      0.3111619401,     0.04572066105
     -0.8367333617,       4.614110784,      0.3063354909,     0.04557803857
      -0.845698081,       4.604241207,      0.3018579272,      0.0450800353
     -0.8534707723,       4.596503719,      0.2976640389,      0.0447027232
       -0.85900756,       4.590504386,      0.2936966929,     0.04421292516
     -0.8645874784,        4.58517913,      0.2900437508,     0.04381624909
     -0.8686844455,       4.580710196,      0.2865711936,     0.04290715554
     -0.8738493057,       4.575917344,      0.2831854883,     0.04194734077
     -0.8802303182,       4.568339626,       0.279821446,      0.0408580333
     -0.8866012261,       4.561562063,      0.2766639128,      0.0400748835
     -0.8919406041,        4.55476411,      0.2734785331,     0.03879078648
     -0.8953363107,       4.551685002,      0.2703434465,     0.03776533748
     -0.9006955306,       4.545251545,      0.2672310296,     0.03679246029
     -0.9045808742,       4.541089757,      0.2641728176,     0.03535394853
     -0.9090730443,       4.536071262,      0.2612908792,     0.03431381358
     -0.9132511208,       4.531752193,      0.2584798688,     0.03326604374
     -0.9173055464,        4.52717513,      0.2556746485,     0.03238553076
     -0.9210856604,       4.523369274,      0.2529112602,     0.03151848006
     -0.9254101843,       4.518464997,      0.2503118347,     0.03123041735
     -0.9295182567,         4.5137123,       0.247703119,      0.0307115188
     -0.9333862532,       4.509649814,      0.2451478817,     0.03016066737
     -0.9372792455,       4.505301835,      0.2426257577,     0.02963091251
     -0.9398936154,       4.503163765,      0.2401734595,     0.02912319716
     -0.9452962222,       4.497064533,      0.2377364298,     0.02947707943
     -0.9504172807,       4.491297152,      0.2353248291,      0.0288187928
     -0.9550119583,       4.486784131,      0.2330372147,     0.02840702355
     -0.9590480694,        4.48269651,      0.2306484264,     0.02843084245
     -0.9633829806,       4.478674744,      0.2284039083,     0.02887638075
     -0.9688146888,       4.472434145,      0.2262309946,     0.02888145356
     -0.9730490195,        4.46878738,      0.2241160013,     0.02898229577
     -0.9782513503,       4.462683291,      0.2220121404,     0.02912222474
     -0.9821578325,       4.459050149,      0.2198651384,     0.02911725133
     -0.9878723323,       4.452080872,      0.2177722654,     0.02922262243
     -0.9937702559,       4.445443462,      0.2157225281,     0.02907777277
      -0.998519363,       4.439979208,      0.2136894446,     0.02902683903
      -1.003074631,         4.4349737,      0.2116582694,      0.0290385852
      -1.006939773,       4.430674008,      0.2096528616,     0.02925016832
      -1.011869725,       4.424818507,      0.2077417422,     0.02940438466
      -1.014383772,       4.422785339,      0.2057890215,     0.02942472654
       -1.01799471,       4.418190448,      0.2039251424,     0.02990749264
      -1.021014235,       4.414732385,      0.2020932222,     0.03010997979
      -1.023863641,        4.41201309,      0.2002734212,     0.03029227117
      -1.027274913,       4.407810435,      0.1985055417,      0.0302148303
      -1.028952987,       4.406867392,      0.1967847211,      0.0298702921
      -1.031028927,        4.40426671,      0.1951357019,     0.02989220059
      -1.035354634,       4.398998574,      0.1934812777,      0.0300924301
      -1.038343125,       4.395480792,      0.1918831075,     0.02986549434
      -1.040907067,       4.392956963,      0.1903017177,     0.02987777664
       -1.04293657,       4.391082787,      0.1887516142,     0.02966666781
      -1.046686646,       4.387000715,      0.1871930605,     0.02950142864
      -1.050089538,       4.383238884,      0.1856921912,     0.02961174767
      -1.052908626,       4.380516765,      0.1842519712,     0.02945154878
      -1.057233939,       4.375448271,      0.1828004981,     0.02900129217
      -1.060794659,       4.371795282,      0.1813462823,     0.02869940219
      -1.064223603,       4.368027636,      0.1799497473,      0.0284458818
      -1.066986676,       4.365442512,      0.1785294495,     0.02863240856
      -1.071366996,       4.359968338,      0.1772000085,     0.02847017696
      -1.074466559,       4.356945412,      0.1758606019,     0.02868200648
      -1.077847745,       4.353450396,      0.1744519189,     0.02886866248
      -1.080132547,       4.351778878,      0.1730205514,     0.02927305484
      -1.083408595,       4.348775748,      0.1716910857,     0.02913734336
      -1.088087379,       4.343218705,      0.1703591923,     0.02937666306
      -1.091066458,       4.340488195,      0.1691088359,     0.02937653999
      -1.094477236,       4.336707751,      0.1678690659,     0.02921182176
      -1.097575567,       4.333806998,      0.1666310909,     0.02886780661
       -1.10145767,        4.32953323,      0.1653954277,     0.02869182295
      -1.104855953,       4.326267615,      0.1641824047,     0.02859576399
      -1.108445722,       4.322361593,      0.1629955692,     0.02824278371
      -1.111856448,       4.318826852,      0.1618463799,     0.02807452247
      -1.114832266,       4.315732259,      0.1606314734,     0.02775488334
      -1.118193723,       4.312108051,      0.1594493017,     0.02735208485
      -1.120370509,       4.310378566,      0.1583241722,     0.02676317686
       -1.12348235,       4.307193304,      0.1571983196,     0.02626829685
      -1.126287953,       4.304288973,      0.1561405192,     0.02618526301
      -1.129420522,        4.30079134,      0.1550695478,     0.02611300965
      -1.131507287,       4.298744227,      0.1539462134,     0.02597078359
      -1.133044672,       4.297778261,      0.1528579785,     0.02579010031
      -1.135015072,       4.296080762,      0.1518409329,      0.0255512466
      -1.138235476,       4.292245914,      0.1507946502,     0.02516323382
      -1.141329198,       4.288442345,      0.1497236741,     0.02475654861
      -1.144370094,       4.285104393,      0.1486567571,     0.02440292794
      -1.143915405,       4.287567475,      0.1475738553,     0.02401274769
       -1.14697404,       4.284220336,      0.1464909227,     0.02367131629
       -1.14964859,       4.281554616,      0.1454465497,     0.02333562232
      -1.152627786,       4.278262247,      0.1443758468,     0.02288338189
      -1.153996722,       4.277755997,      0.1433539032,     0.02232334812
      -1.156742521,       4.274808348,      0.1423802081,     0.02169914629
      -1.159130889,       4.272294086,      0.1413894199,     0.02086907764
      -1.161154643,       4.270286614,      0.1404274104,     0.02020426409
      -1.164190912,       4.266475846,      0.1394350625,     0.01965090708
      -1.166056153,       4.264476289,      0.1384540917,      0.0191001977
      -1.164442668,       4.268483546,      0.1374835273,     0.01852336051
       -1.16601758,       4.267046725,      0.1365312752,     0.01804764909
      -1.169084447,        4.26346573,      0.1355308792,     0.01786929421
      -1.169759701,       4.263677737,      0.1345690268,     0.01775646945
       -1.17233873,       4.260927677,      0.1336380835,     0.01721239247
      -1.173899476,       4.259999891,      0.1326834616,     0.01671314222
        -1.1769963,       4.256812597,      0.1317639219,     0.01619432672
      -1.179349116,       4.254384993,      0.1308959908,     0.01589363989
      -1.182959058,       4.250153492,      0.1299979708,     0.01551036457
      -1.186428094,        4.24585321,      0.1290658313,     0.01494661122
      -1.184774654,       4.250397624,      0.1282223215,     0.01455877568
      -1.187329807,       4.247668638,      0.1273727592,     0.01386367598
      -1.190671902,       4.243621847,       0.126568868,     0.01340919491
      -1.193939448,       4.239723837,      0.1257127472,     0.01303305979
      -1.195056125,       4.239381227,      0.1248867263,     0.01268111478
      -1.197571397,       4.236558937,      0.1240925726,     0.01222679043
      -1.200113547,       4.234265834,      0.1232726845,     0.01193929323
      -1.203071479,       4.231316449,      0.1225191637,     0.01183503844
      -1.206697184,       4.227027495,      0.1216873443,     0.01178296041
      -1.209612512,       4.223881104,      0.1208893237,     0.01163126509
      -1.209210671,       4.226280793,      0.1201680487,     0.01158556254
       -1.21183974,       4.223560931,      0.1194391032,     0.01140026626
      -1.214750274,       4.220537582,      0.1186844625,     0.01133692172
       -1.21731881,       4.217847877,      0.1179173038,     0.01137247893
      -1.219733885,       4.215579573,      0.1171485335,     0.01138417313
      -1.222519031,       4.212504245,      0.1163733926,     0.01135363761
      -1.225722797,       4.208956922,      0.1156023621,      0.0112631149
       -1.22848049,       4.206050671,      0.1148575883,     0.01131386961
      -1.227722448,       4.208897342,      0.1140181974,     0.01118548716
      -1.231386914,       4.204327005,       0.113248428,     0.01128396651
      -1.233268596,       4.202448113,      0.1125415045,     0.01125546608
      -1.234611446,       4.201994895,      0.1118280837,     0.01134018558
      -1.236837362,       4.200072235,      0.1111020385,     0.01129596133
      -1.240252429,       4.196393994,      0.1103469395,     0.01137691987
      -1.241423306,       4.194986705,      0.1096218339,     0.01150039851
      -1.245968736,       4.190298489,      0.1088833498,     0.01145001101
      -1.242573367,       4.196475581,      0.1081520724,     0.01161464477
      -1.249278609,        4.18875073,      0.1074506101,     0.01219077057
      -1.250861928,        4.18695892,      0.1067305977,       0.012646043
      -1.255701519,        4.18145623,      0.1060569511,     0.01296440022
      -1.257261469,       4.179977766,        0.10538002,     0.01344542465
      -1.258892443,       4.178956653,      0.1047073689,     0.01416865408
      -1.259471229,       4.179520361,      0.1040265943,      0.0146717119
      -1.261568456,       4.177620941,       0.103354728,     0.01520878229
      -1.266461164,       4.170984331,       0.102636125,     0.01570821992
      -1.268115859,       4.169749659,      0.1019644191,     0.01632979045
      -1.266391134,       4.173705299,      0.1012933868,      0.0168114467
      -1.267800859,       4.172693128,      0.1006338183,      0.0176170486
      -1.270184204,       4.170184026,     0.09994898866,     0.01843363654
      -1.274366479,       4.165314108,     0.09930196963,     0.01930617182
      -1.274477769,       4.166502321,     0.09864756192,     0.02012040168
      -1.278559005,       4.161879776,     0.09797947923,     0.02112105571
      -1.282852748,       4.157143281,     0.09729525737,     0.02237788013
      -1.285983598,       4.154192739,     0.09660393321,     0.02361336979
      -1.286159428,       4.155544694,     0.09593173363,     0.02487613694
      -1.289897647,       4.151099097,     0.09527438624,      0.0259718319
      -1.283587543,       4.159156026,     0.09459715571,     0.02693377541
       -1.28760856,       4.154628708,     0.09397058816,     0.02824383131
      -1.292025149,       4.149624827,     0.09335521608,     0.02950400396
      -1.295482204,        4.14582929,     0.09272176496,     0.03074247881
      -1.299473998,       4.141136522,     0.09210664166,     0.03212338314
      -1.301656883,       4.139521133,     0.09145205614,     0.03327124369
      -1.300822596,        4.14263359,     0.09079881273,     0.03453244056
      -1.304463586,        4.13846435,     0.09011781688,     0.03585091071
      -1.307466273,       4.135352431,     0.08946460723,     0.03705009768
      -1.302025711,       4.143448954,     0.08880776218,       0.038256313
      -1.308090419,       4.135353272,     0.08816021083,     0.03938918424
      -1.304798517,       4.140145558,     0.08750570291,     0.04032055858
      -1.309230342,       4.135365836,     0.08683545477,     0.04113001692
      -1.314687479,       4.129095613,     0.08614668714,     0.04205755548
      -1.318669425,       4.124983102,     0.08548924517,     0.04319202767
       -1.32204339,       4.121406645,     0.08487492366,     0.04451224979
      -1.324047716,       4.120106782,     0.08424755708,     0.04582528489
      -1.326187264,        4.11835241,     0.08365748188,      0.0472586138
      -1.327480036,       4.117640767,     0.08306857373,     0.04840389628
      -1.329118451,       4.116036092,     0.08246188443,     0.04965612247
      -1.332606772,        4.11180398,     0.08183417377,     0.05086094208
      -1.333823487,       4.111508211,     0.08122458673,     0.05215591891
      -1.335998183,       4.109453043,     0.08059236531,     0.05348517215
      -1.338527427,       4.106707095,      0.0799574147,     0.05454498096
      -1.340927902,       4.104422231,     0.07930997244,     0.05574722577
      -1.344087682,       4.100805765,     0.07866237106,     0.05703983392
      -1.345209634,       4.100670076,     0.07802190894,     0.05817022191
      -1.347456909,       4.098580314,     0.07737599957,     0.05934808735
      -1.349153813,       4.096758506,     0.07673992355,     0.06042909153
      -1.351584526,       4.094279839,     0.07609428513,     0.06166326293
      -1.354759537,       4.090439781,     0.07541274325,     0.06325345338
      -1.355722506,       4.090449694,     0.07473662443,     0.06468289293
      -1.357805531,       4.088529182,     0.07406746339,     0.06580074644
      -1.360501788,       4.085537357,     0.07338816766,     0.06682138276
      -1.362906522,       4.083235655,     0.07266603402,     0.06788891858
      -1.366071943,       4.079509202,     0.07192658722,     0.06889077137
      -1.366343186,       4.080267259,     0.07114758975,     0.07012243915
      -1.368617237,       4.077991434,     0.07032286659,     0.07123758795
      -1.371343341,       4.074815202,     0.06947742927,     0.07242048142
      -1.372237613,       4.074536299,     0.06857114852,     0.07352801609
      -1.376296045,       4.069193965,     0.06762384745,     0.07463474352
      -1.372771218,       4.075685235,     0.06662912745,     0.07570065535
      -1.378431498,       4.068539703,     0.06557160872,     0.07684972033
       -1.38129849,       4.065020252,     0.06444896641,     0.07798321956
      -1.382827584,        4.06390243,     0.06324104091,     0.07914690759
      -1.385830485,       4.060190649,     0.06195996725,      0.0801905163
      -1.385754012,       4.061607128,     0.06058397111,     0.08119426817
      -1.387094991,       4.060089504,     0.05911983714,     0.08219085745
      -1.389861924,        4.05685121,     0.05753835785,     0.08336493048
      -1.393025145,        4.05321254,     0.05582967522,     0.08483198468
      -1.396380778,       4.049147085,     0.05401166708,     0.08613046407
      -1.397923968,       4.048098851,     0.05206715414,     0.08736837167
      -1.399983611,       4.046342134,     0.04995360549,     0.08885843739
      -1.402654314,        4.04293333,     0.04770718757,     0.09023527294
      -1.404693058,       4.040989567,     0.04531135573,     0.09152092117
      -1.407982657,       4.036542996,     0.04275571686,     0.09280936777
      -1.408939656,       4.036436822,     0.04004071376,     0.09404179424
      -1.411379155,       4.033714749,     0.03718388401,     0.09514822079
      -1.413132155,       4.031238242,     0.03415800759,     0.09630885294
      -1.415722665,       4.028275279,     0.03096509502,       0.097384636
      -1.419391221,        4.02340577,     0.02759421669,     0.09844918864
      -1.419067397,       4.024598611,     0.02405954875,     0.09941049612
      -1.421131078,       4.022519146,     0.02034460466,      0.1002594486
      -1.423203723,       4.019708691,      0.0164458332,      0.1010829001
      -1.426041632,       4.016369617,     0.01235544157,      0.1018295765
      -1.429827807,       4.011253817,     0.00807088406,      0.1025458085
      -1.431127465,       4.010549008,    0.003599652547,      0.1032440809
      -1.433433717,       4.007831048,   -0.001062818059,      0.1039572246
      -1.428790064,       4.016339138,   -0.005924204925,      0.1046940479
      -1.424530703,       4.024141836,    -0.01102997408,      0.1056711129
       -1.43043018,       4.015763175,    -0.01632330419,      0.1066570397
      -1.429798785,        4.01761384,    -0.02180440945,      0.1076787955
       -1.43471031,       4.011440042,    -0.02745164411,      0.1086840696
