    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
      -2.491268599,       2.991577025,     0.09104519708,     0.03229836895
     -0.4725179842,       5.030167921,       0.137369521,     0.05566623875
     -0.5281459742,       4.960424347,      0.1745050452,     0.07361454825
     -0.5467962123,       4.922847278,      0.2031228503,     0.08490128149
      -0.557006199,       4.899755566,      0.2242161292,     0.09274251895
     -0.5765015275,       4.870870517,       0.238675635,     0.09943713008
     -0.6280855805,       4.813281392,      0.2485953177,      0.1034969541
     -0.6758852868,       4.761034422,       0.254606695,      0.1063671633
     -0.7121775391,       4.723379658,      0.2571496381,      0.1084622628
     -0.7443415017,       4.691824871,      0.2571649911,      0.1083789585
     -0.7659091766,       4.673563625,      0.2554927915,      0.1067182419
       -0.77902838,       4.665386067,      0.2526774325,      0.1048403956
     -0.7847953242,       4.664757734,      0.2494599162,       0.102488657
      -0.786200757,         4.6670682,      0.2457995466,      0.1002361418
     -0.7885377953,       4.666083635,      0.2417788798,     0.09780949498
     -0.7927130393,       4.662548255,      0.2376356201,     0.09483279818
     -0.7994934595,       4.655097852,      0.2333357126,     0.09206841118
      -0.807885074,       4.645645543,      0.2287402151,     0.09171904088
     -0.8174523572,       4.635323353,      0.2244273862,     0.09084012411
      -0.827672002,       4.623820807,      0.2200707226,     0.09019298844
     -0.8355527824,       4.614952619,      0.2161662947,      0.0887194389
     -0.8433169456,       4.606792546,      0.2124303554,     0.08745408346
     -0.8492397459,       4.600429771,       0.209037895,     0.08604492991
     -0.8537321165,        4.59640974,      0.2058361855,     0.08532228385
     -0.8590766615,       4.590846731,      0.2028839376,     0.08428851273
     -0.8647456345,       4.585237276,       0.200135093,     0.08316201728
     -0.8706938389,       4.578996945,      0.1973590569,     0.08323700621
     -0.8760176854,       4.574027998,      0.1946464535,     0.08311416704
     -0.8824045258,        4.56640702,      0.1920027099,     0.08261266395
     -0.8875264783,       4.560904845,      0.1895404328,     0.08212125011
     -0.8927369922,       4.554769341,      0.1870923161,     0.08203505642
     -0.8979139942,       4.549344282,      0.1847116418,     0.08154252145
      -0.902940879,       4.543604665,      0.1824538831,     0.08055828522
     -0.9084075199,       4.537913191,      0.1801817809,     0.07998311147
     -0.9129949591,       4.532558334,      0.1780312752,     0.07897726918
     -0.9169187179,       4.529041206,      0.1758458869,     0.07835836604
      -0.922479973,       4.522606425,      0.1737302763,     0.07771256453
     -0.9272982009,        4.51777606,      0.1715792125,     0.07707145648
     -0.9316804312,       4.512645638,      0.1696040424,     0.07593187452
     -0.9358181125,       4.508566836,      0.1676722356,      0.0744219508
     -0.9407249562,       4.502798319,       0.165799678,     0.07326112904
     -0.9440996317,       4.500150792,      0.1639380207,     0.07222608531
     -0.9486832848,       4.494640513,      0.1621655434,     0.07092303334
     -0.9529505689,       4.490451186,      0.1604286449,     0.06972649677
     -0.9579487613,       4.483691017,      0.1587503996,     0.06855891967
     -0.9633887493,       4.477807063,      0.1571056518,     0.06755709048
     -0.9663516039,        4.47448337,      0.1554923141,     0.06631151989
     -0.9693747798,       4.471905117,      0.1539092907,     0.06526113055
     -0.9722811281,        4.46900775,      0.1524405804,     0.06395685355
