    "rms[Rho]"    ,    "rms[RhoE]"   ,       "CD"       ,       "CL"       
        -2.4950989,       2.987746724,     0.09009641307,      0.0335378339
     -0.4735344495,       5.029441073,      0.1349380467,     0.05134705067
     -0.5324021669,       4.956152072,      0.1711970401,     0.06209604335
     -0.5471201546,       4.922821685,       0.198645822,     0.07162848234
     -0.5632925571,       4.892863938,      0.2186910663,     0.08003931594
     -0.5794881253,       4.868330754,      0.2324315672,     0.08555937327
     -0.6267835564,       4.814404115,      0.2411045376,     0.08886793438
      -0.673343324,       4.763730808,      0.2464972881,      0.0895549597
     -0.7090572616,       4.726475346,      0.2488662172,     0.09017323081
     -0.7376120474,       4.698999197,        0.24903047,     0.08997853016
      -0.759164317,       4.680276086,      0.2476967586,     0.08901657644
     -0.7731757976,       4.670904535,      0.2454483875,     0.08717807196
     -0.7804910542,       4.668189444,      0.2424393263,     0.08561145978
     -0.7821894576,       4.669935664,      0.2388627418,     0.08492201431
     -0.7851524211,       4.668448712,      0.2351624615,     0.08321928364
      -0.790682394,       4.663648897,      0.2311041175,     0.08318115827
     -0.7983959282,       4.655288746,      0.2270623029,     0.08288266789
     -0.8074455351,       4.645315959,      0.2228997861,     0.08276073664
     -0.8172199824,       4.634600282,      0.2189639545,     0.08174325416
      -0.825510946,       4.625298823,       0.214987999,     0.08156361021
     -0.8334939106,       4.616857255,      0.2112180574,     0.08088653056
     -0.8407426476,       4.609158051,      0.2076273569,     0.08049504031
     -0.8473479438,       4.602465798,       0.204205291,     0.08046566904
     -0.8527108764,       4.597069644,       0.201019902,     0.08010033288
     -0.8589830019,        4.59153803,       0.198084816,      0.0796007749
     -0.8647727954,        4.58504959,      0.1954612056,      0.0781752712
     -0.8705846768,        4.57937033,      0.1929358512,     0.07734077669
     -0.8754244535,       4.574041395,      0.1904425037,     0.07671057097
     -0.8803711788,       4.568570767,      0.1879490844,     0.07651070338
     -0.8871632847,       4.560781619,      0.1855297678,     0.07608148528
      -0.892418897,       4.555363308,      0.1831085681,       0.075988066
     -0.8962300349,       4.550678087,      0.1807356563,      0.0756469311
     -0.8997141772,       4.547515717,      0.1784895877,     0.07495717485
     -0.9039900909,       4.542120436,      0.1761712196,     0.07418897995
     -0.9105388341,       4.535352385,      0.1739472189,     0.07316448252
     -0.9151054227,       4.529845233,      0.1718526341,     0.07238272465
     -0.9203050742,       4.524583924,      0.1697692824,     0.07181755441
      -0.925630201,       4.518579414,      0.1678083138,     0.07086325387
     -0.9288458429,       4.515878609,      0.1659530557,     0.06951120288
     -0.9350114539,       4.508297342,      0.1640770656,     0.06808746257
     -0.9407125496,       4.502225996,      0.1623399555,     0.06646830104
     -0.9448736061,       4.497303401,       0.160680713,     0.06469709143
      -0.948756229,       4.493575211,      0.1589316819,     0.06385037671
      -0.952977864,       4.488630161,      0.1571357628,     0.06325686367
     -0.9573223127,       4.483986453,      0.1553950207,     0.06241817592
     -0.9606277235,       4.480209426,      0.1536647264,     0.06177176966
      -0.963286755,       4.477758788,      0.1520419153,      0.0608478755
     -0.9672056307,       4.473265107,      0.1504990795,     0.05986950226
     -0.9713541983,        4.46841251,      0.1488793991,     0.05954971384
     -0.9743337491,       4.465785261,      0.1472678604,     0.05920279249
     -0.9784441099,       4.461160924,      0.1458135972,     0.05857176384
     -0.9825724756,       4.457026582,      0.1444096957,     0.05794256449
     -0.9874087174,       4.451334998,      0.1430531569,     0.05733306232
     -0.9914567116,       4.447145038,      0.1416775418,      0.0567382148
     -0.9954679341,       4.442628954,       0.140363761,     0.05591815023
     -0.9982806472,       4.440904473,      0.1390471172,     0.05560918052
      -1.001786374,       4.437310187,      0.1377381632,     0.05519385481
      -1.004996257,       4.434606184,      0.1364512514,     0.05474960825
      -1.009354836,       4.428899007,      0.1352240808,     0.05418640731
      -1.014321887,       4.423416676,      0.1340659887,     0.05301641228
      -1.018307536,       4.418928758,      0.1329300441,     0.05221968683
      -1.021665489,        4.41528547,      0.1318694854,     0.05139872812
      -1.026035512,       4.410680252,      0.1308252865,     0.05004448739
      -1.028127497,       4.408705743,      0.1297911339,     0.04911850351
      -1.032207875,        4.40435258,      0.1288233672,     0.04796056049
      -1.034397887,       4.401972501,      0.1278707227,     0.04714718965
      -1.038253422,       4.398095546,      0.1269044609,     0.04627425327
       -1.04077482,       4.394971162,      0.1259703378,     0.04526960568
      -1.045003386,       4.390233814,      0.1250394313,     0.04414234838
      -1.046649279,       4.388557527,      0.1241094872,     0.04297317246
      -1.052212244,       4.381901382,      0.1231922424,     0.04204396132
      -1.053501568,       4.381183652,      0.1222748039,     0.04136780042
      -1.055250507,        4.38062772,      0.1213075498,     0.04042393205
       -1.05825946,       4.377262853,      0.1204105012,     0.03978726106
      -1.062685294,       4.371575442,      0.1195415294,     0.03924707585
       -1.06626749,       4.367272087,      0.1187008754,     0.03852710532
      -1.069959573,       4.363075777,      0.1179116954,     0.03782218872
      -1.072667201,       4.360667796,      0.1170591445,     0.03747653576
      -1.077313737,       4.355211653,      0.1163148203,     0.03669413256
      -1.080014849,       4.353026901,        0.11553628,     0.03635721516
       -1.08371002,       4.349380415,      0.1147848113,     0.03600164537
      -1.088815203,       4.343395173,      0.1139944191,      0.0359134082
      -1.092755896,       4.339204743,      0.1132673105,     0.03546706938
      -1.094051015,       4.339476104,      0.1126039837,     0.03470335263
      -1.099333609,       4.332731848,      0.1119008793,     0.03425699296
      -1.102934579,       4.328735439,      0.1112179464,     0.03395841281
      -1.107116579,       4.323473056,      0.1105319701,       0.033810301
      -1.111030952,       4.318646578,      0.1098989388,     0.03339142257
       -1.11341889,       4.316341207,      0.1092074634,     0.03334294409
      -1.113616885,       4.317785015,      0.1085509458,     0.03314697691
      -1.114806384,       4.317529568,      0.1078691389,     0.03285539703
      -1.121126444,        4.30887559,      0.1071906405,     0.03252149473
      -1.122204363,       4.308793753,      0.1064992892,     0.03227272133
      -1.122819145,       4.309673585,      0.1057711199,     0.03225914897
      -1.129275896,        4.30094303,      0.1050515303,     0.03207717203
      -1.131613067,       4.299087915,      0.1043938909,     0.03177288138
      -1.132082884,       4.300207181,       0.103708161,     0.03178149922
      -1.133950389,       4.298705712,      0.1030461934,     0.03169591697
      -1.136216363,       4.296460151,      0.1023906384,     0.03182377469
      -1.141469673,       4.289562702,      0.1017388835,     0.03199147637
      -1.144025144,       4.286679135,       0.101080952,     0.03225984153
      -1.145425269,       4.285914261,       0.100439806,      0.0323728865
      -1.147751303,       4.283770307,     0.09978447246,     0.03253333985
      -1.149860041,       4.281834522,     0.09909781669,     0.03290357722
      -1.149941656,       4.283050426,     0.09844049839,     0.03299412374
      -1.153656495,        4.27848044,     0.09776349586,     0.03324277899
      -1.157226991,        4.27409397,     0.09709695319,     0.03340568684
       -1.15731496,       4.275197818,      0.0963777958,     0.03388044472
      -1.162227712,       4.268369592,     0.09568576686,     0.03412125094
      -1.162106841,       4.269846036,     0.09497690202,     0.03425421209
      -1.164874627,       4.266713155,     0.09423730007,     0.03447881853
      -1.166966942,       4.264495585,     0.09349841504,     0.03467561346
      -1.169958138,       4.260675901,     0.09273899998,      0.0348798213
      -1.170665603,        4.26093742,     0.09198596131,     0.03516554767
      -1.172080173,       4.259885453,      0.0912311475,     0.03518556211
      -1.172498646,       4.260508413,     0.09048969609,     0.03546872376
        -1.1739465,       4.259062706,      0.0897523118,     0.03571726446
       -1.17787784,       4.254238124,     0.08899588506,     0.03608453459
      -1.179025901,       4.253956744,      0.0882373847,      0.0362424245
      -1.180877331,       4.252713273,      0.0874678502,     0.03675787386
      -1.185832842,       4.246309981,     0.08669566283,     0.03729126459
      -1.185733029,       4.248343747,     0.08587804927,     0.03791311057
      -1.189289688,       4.244592953,     0.08508492764,     0.03856950831
      -1.191775657,       4.242201263,      0.0842877917,     0.03947462109
      -1.195509549,       4.237971078,     0.08346338422,     0.04048992182
      -1.198823039,       4.234743198,     0.08269819841,     0.04119074463
      -1.201671258,       4.231934701,     0.08190138877,     0.04195770881
       -1.20274407,       4.231712656,     0.08111534368,     0.04239725117
       -1.20552733,       4.228980663,      0.0803120403,      0.0430083629
      -1.207518859,       4.227268638,     0.07952774765,     0.04372645114
      -1.210609158,        4.22342482,     0.07873049203,     0.04447108334
      -1.213072022,       4.220785366,     0.07792604092,     0.04506602025
       -1.21302323,       4.222163745,     0.07713035908,      0.0458143301
      -1.215183995,       4.220214214,     0.07634153432,     0.04643444888
      -1.219345154,       4.214874894,     0.07554749742,     0.04719655068
      -1.218767191,       4.217099457,     0.07477819792,     0.04792784294
      -1.221329024,       4.214549614,     0.07401259727,     0.04846127268
      -1.223147575,       4.212972688,     0.07328391386,     0.04900730147
      -1.227004179,        4.20824833,     0.07256772243,     0.04958088123
      -1.228794404,       4.206783789,      0.0718627447,     0.05018248915
      -1.230511265,       4.205547699,     0.07116103091,     0.05074304536
      -1.232411578,       4.204054842,     0.07045710347,     0.05126947813
      -1.235067817,       4.201181503,      0.0697528965,     0.05173943749
      -1.235467049,       4.201762735,     0.06905603697,     0.05216718475
      -1.237393334,       4.200373529,     0.06833051286,     0.05232307358
      -1.239608883,       4.197345174,     0.06763650568,     0.05281906124
      -1.243189823,       4.193821936,     0.06696283171,     0.05338553591
       -1.24351178,       4.194088726,     0.06631390842,      0.0539987041
      -1.247833765,        4.18935059,      0.0656687064,     0.05460026033
      -1.250949534,        4.18607848,     0.06503521587,     0.05538206743
      -1.253862542,       4.182839463,     0.06440427494,      0.0560513052
      -1.254579556,       4.183505392,     0.06378847622,     0.05669422907
      -1.257934916,       4.180418868,     0.06319973495,     0.05737481665
      -1.260137793,        4.17867955,     0.06263451089,     0.05818584545
      -1.260442327,       4.179490534,     0.06207676068,     0.05892071356
